month,avg_players,gain,gain_percent,peak_players,name,steam_appid
Sep-25,7805.25,883.12,0.1276,13254,Counter-Strike,10
Aug-25,6922.13,-449.35,-0.061,12168,Counter-Strike,10
Jul-25,7371.48,-833.5,-0.1016,13951,Counter-Strike,10
Jun-25,8204.98,-847.53,-0.0935999999999999,15798,Counter-Strike,10
May-25,9052.51,-471.31,-0.0495,15333,Counter-Strike,10
Apr-25,9523.82,-849.53,-0.0819,17727,Counter-Strike,10
Mar-25,10373.35,-1190.16,-0.1028999999999999,18180,Counter-Strike,10
Feb-25,11563.5,-341.15,-0.0287,18934,Counter-Strike,10
Jan-25,11904.66,413.55,0.036,20626,Counter-Strike,10
Dec-24,11491.11,1253.53,0.1224,19006,Counter-Strike,10
Nov-24,10237.58,310.83,0.0313,17065,Counter-Strike,10
Oct-24,9926.75,645.11,0.0695,16821,Counter-Strike,10
Sep-24,9281.64,407.25,0.0458999999999999,16410,Counter-Strike,10
Aug-24,8874.39,-1609.88,-0.1536,14878,Counter-Strike,10
Jul-24,10484.26,820.42,0.0849,18909,Counter-Strike,10
Jun-24,9663.84,692.22,0.0771999999999999,15671,Counter-Strike,10
May-24,8971.63,746.44,0.0908,15664,Counter-Strike,10
Apr-24,8225.19,-645.74,-0.0728,14470,Counter-Strike,10
Mar-24,8870.93,687.48,0.084,15954,Counter-Strike,10
Feb-24,8183.44,-413.77,-0.0481,14925,Counter-Strike,10
Jan-24,8597.22,404.76,0.0494,15597,Counter-Strike,10
Dec-23,8192.45,216.76,0.0272,14596,Counter-Strike,10
Nov-23,7975.7,-26.73,-0.0033,14415,Counter-Strike,10
Oct-23,8002.42,403.87,0.0532,14219,Counter-Strike,10
Sep-23,7598.56,85.95,0.0113999999999999,13166,Counter-Strike,10
Aug-23,7512.6,-343.71,-0.0437,12412,Counter-Strike,10
Jul-23,7856.31,193.59,0.0253,13232,Counter-Strike,10
Jun-23,7662.73,-100.78,-0.013,13078,Counter-Strike,10
May-23,7763.5,-695.43,-0.0822,13587,Counter-Strike,10
Apr-23,8458.93,-444.41,-0.0499,15526,Counter-Strike,10
Mar-23,8903.35,-363.64,-0.0392,15828,Counter-Strike,10
