app_id,name
35010,Batman: Arkham Asylum Game of the Year Edition
493200,RiME
12220,Grand Theft Auto: Episodes from Liberty City
774361,Blasphemous
41014,Serious Sam HD: The Second Encounter
209080,Guns of Icarus Online
214250,I Am Alive
214770,Guacamelee! Gold Edition
224460,Contrast
205230,HELL YEAH! Wrath of the Dead Rabbit
206190,Gunpoint
233470,Evoland
365660,OlliOlli2: Welcome to Olliwood
374030,Virginia
450670,Table Top Racing: World Tour
747350,Hellblade: Senua's Sacrifice VR Edition
209870,Blacklight: Retribution
423950,Deadlight: Director's Cut
329380,Stealth Inc 2: A Game of Clones
403290,Burly Men at Sea
415880,Disc Jam
21660,Street Fighter IV
1962660,Call of Duty: Modern Warfare II
353700,The Deadly Tower of Monsters
230050,DLC Quest
250700,Super Time Force Ultra
314710,Mighty No. 9
220860,McPixel
219680,Proteus
98200,Frozen Synapse
2420,The Ship: Single Player
209120,STREET FIGHTER X TEKKEN
762830,Telling Lies
359100,Q.U.B.E. 2
250600,The Plan
428750,Neon Chrome
205910,Tiny and Big: Grandpa's Leftovers
263980,Out There Somewhere
274250,OlliOlli
265950,Ether One
359580,Uncanny Valley
228960,Skulls of the Shogun
330820,2064: Read Only Memories
203210,Titan Attacks!
774171,Muse Dash
368730,No Time To Explain Remastered
588690,"Peace, Death!"
31270,Puzzle Agent
327690,Gigantic
250680,Below
207040,Sine Mora
244710,Shelter
253840,Shantae: Half-Genie Hero
1102190,Monster Train
290770,The Fall
1057750,The Suicide of Rachel Foster
741820,Prey: Typhon Hunter
269650,Dex
80310,Gemini Rue
717640,Reigns: Her Majesty
774461,The Jackbox Party Pack 5
42120,Lead and Gold: Gangs of the Wild West
702700,Super Bomberman R
293740,Road Not Taken
265750,Secret Ponchos
770390,Draugen
282100,Fearless Fantasy
17080,Tribes: Ascend
296470,Mount Your Friends
345480,Lumo
555150,The First Tree
244810,Foul Play
1283220,Devolverland Expo
365300,Transmissions: Element 120
506540,Last Man Standing
227080,Papo & Yo
543260,Wonder Boy: The Dragon's Trap
272470,The Incredible Adventures of Van Helsing II
215670,Home
214420,Gear Up
252670,Nihilumbra
385560,Shadow Complex Remastered
209630,Magrunner: Dark Pulse
26500,Cogs
11390,Crash Time 2
466500,35MM
1186040,Worms Rumble
643270,OLDTV
1671410,Somerville
201570,Really Big Sky
314020,Morphopolis
437220,The Culling
209830,Lone Survivor: The Director's Cut
431930,Kabounce
55040,Atom Zombie Smasher
208670,Blades of Time
369110,The Swindle
636450,Rez Infinite
269050,Year Walk
275200,Westerado: Double Barreled
340000,Headlander
325370,Nova-111
301860,Submerged
215690,Zeno Clash 2
204180,Waveform
201510,Flatout 3: Chaos & Destruction
762220,Afterparty
809960,Radical Heights
303430,Roundabout
897820,Reigns: Game of Thrones
95300,Capsized
2500,Shadowgrounds
261760,Lichdom: Battlemage
302830,BLOCKADE 3D
812810,missed messages.
762840,Maquette
63000,HOARD
367580,Hook
219190,Ultratron
242820,140
330180,Pix the Cat
297020,The Culling Of The Cows
108500,Vessel
650000,DOOM VFR
969760,Omno
545270,NBA Playgrounds
214700,Thirty Flights of Loving
319450,Chariot
7860,NecroVision
300060,ADR1FT
290510,GNOG
111900,Guardians of Middle-earth
437570,GoNNER
774241,Warhammer: Chaosbane
512250,Oh...Sir!! The Insult Simulator
252830,Claire
201480,Serious Sam: The Random Encounter
347440,Pneuma: Breath of Life
92000,Hydrophobia: Prophecy
225600,Blade Symphony
252750,MouseCraft
1189800,Bleeding Edge
242110,Joe Danger 2: The Movie
402570,Atlas Reactor
387860,the static speaks my name
393660,Streamline
897030,Paratopic
227100,Sniper Elite: Nazi Zombie Army
574310,The Mooseman
2933620,Call of Duty: Black Ops 6
589510,Shovel Knight: Specter of Torment
214550,Eets Munchies
63700,BIT.TRIP BEAT
300580,GALAK-Z
298600,Lovely Planet
365770,Volume
582890,Estranged: The Departure
216910,Of Orcs and Men
332530,Shutshimi
294060,Aaru's Awakening
1300,SiN Episodes: Emergence
35460,The Ball
359900,The Incredible Adventures of Van Helsing III
231330,Deadfall Adventures
331690,Crossing Souls
503140,Dungeon Punks
29800,Caster
277890,Shantae: Risky's Revenge - Director's Cut
259550,Hero of the Kingdom
250110,Assault Android Cactus
22450,Hunted: The Demon’s Forge
510240,forma.8
481110,The Bunker
24420,Aquaria
65560,Painkiller Redemption
248310,Freedom Planet
240320,Panzar
207750,Symphony
261530,Lifeless Planet Premier Edition
373180,Kung Fury: Street Rage
1069530,Narita Boy
437630,State of Mind
274310,Always Sometimes Monsters
72000,Closure
253330,Neverending Nightmares
263060,Blockstorm
227000,Primordia
224820,Super House of Dead Ninjas
449680,SAMOLIOTIK
1122690,Last Stop
1098292,Doom Eternal: The Ancient Gods - Part One
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack"
274560,Revolution Ace
774861,Project Winter
402390,Hyperdrive Massacre
513780,Turbo Pug DX
284460,DeadCore
470260,Event[0]
39800,Nation Red
1497450,A Memoir Blue
205730,Insanely Twisted Shadow Planet
244870,Electronic Super Joy
442780,STRAFE
341870,TEMBO THE BADASS ELEPHANT
334120,Armikrog
470210,Rocketbirds 2: Evolution
1142100,WWE 2K Battlegrounds
107300,Breath of Death VII
70620,Worms Crazy Golf
39560,Painkiller: Resurrection
65610,ArcaniA: Fall of Setarrif
297490,Spy Chameleon - RGB Agent
676820,Subsurface Circular
364390,Downfall
793370,KIDS
205020,Lumino City
794540,Neo cab
606730,Sine Mora EX
255070,Abyss Odyssey
433950,Bit Blaster XL
239800,Bleed
345080,Flame Over
318430,Squishy the Suicidal Pig
291010,The Hat Man: Shadow Ward
433100,The Town of Light
227200,Waking Mars
63200,Monday Night Combat
251230,Livelock
405540,Ninja Senki DX
315110,Woah Dave!
499440,klocki
1265780,The Lord of the Rings: Gollum
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy
302380,Floating Point
243800,Gas Guzzlers Extreme
205840,Yesterday
369230,Kung Fu Panda: Showdown of Legendary Legends
282010,Carmageddon Max Pack
336840,Color Guardians
623940,HIVESWAP: Act 1
341500,Camera Obscura
270850,Car Mechanic Simulator 2014
779290,Stygian: Reign of the Old Ones
461560,MANDAGON
80340,Blackwell Unbound
241410,CastleStorm
447290,Redeemer
852300,Creature in the Well
513230,The Underground Man
47889,Battlefield: Bad Company 2 - Vietnam
278460,Skyborn
1481400,Dagon: by H. P. Lovecraft
878670,Shenmue III
111800,Blocks That Matter
463150,BARRIER X
217690,Anna - Extended Edition
433910,Neon Drive
1080750,Mutazione
2519060,Call of Duty: Modern Warfare III
1098293,Doom Eternal: The Ancient Gods - Part Two
261510,Tesla Effect: A Tex Murphy Adventure
485030,PLANET ALPHA
551770,ECHO
17710,Nuclear Dawn
286940,S.K.I.L.L. - Special Force 2 (Shooter)
313740,Sakura Spirit
688740,Fractured Minds
452920,LASER DISCO DEFENDERS
285960,Q*Bert: Rebooted
475190,Scanner Sombre
296970,Renowned Explorers: International Society
336140,Unavowed
334100,Extreme Exorcism
317250,Airscape - The Fall of Gravity
355150,Gravilon
274350,Dropsy
80360,Blackwell Deception
339190,Dead Synchronicity: Tomorrow Comes Today
43000,Front Mission Evolved
347290,Rise & Shine
1229580,Disc Room
231040,Beatbuddy: Tale of the Guardians
284950,Pixel Puzzles: Japan
204220,Snapshot
207420,Wizorb
98100,TRAUMA
730390,Raji: An Ancient Epic
298520,Orbital Gear
501320,The Shrouded Isle
248190,Knytt Underground
225360,DARK
18050,DeathSpank: Thongs Of Virtue
3800,Advent Rising
238910,Bionic Dues
428430,Endorlight
287100,Chaos Domain
403970,The Dwarves
262150,Vanguard Princess
255280,1954 Alcatraz
248650,Draw a Stickman: EPIC
7020,Rogue Trooper
488730,God’s Trigger
209730,R.A.W. Realms of Ancient War
447120,Where the Water Tastes Like Wine
209790,Splice
260530,So Many Me
